PName_original;PName;iso3;first;last;iso3Birth;Start_year;Start_month;End_year;End_month;Position;Sex;Birth_year;Birth_month;Education;BA_or_MA;MBA;PhD;CountryBirth;CityBirth
Dr. Salehuddin Ahmed;Nasiruddin Ahmed;BGD;nasiruddin;ahmed;BGD;;;;;0;0;;;;;;;;
Rushidan Islam Rahman;Rushidan Rahman;BGD;rushidan;rahman;BGD;;;;;0;0;;;;;;;;
Mohammad Tareque;Mohammad Tareque;BGD;mohammad;tareque;BGD;;;;;0;0;;;;;;;;
Shafiqur Rahman Patwari;Shafiqur Patwari;BGD;shafiqur;patwari;BGD;;;;;0;0;;;;;;;;
Fazle Kabir;Fazle Kabir;BGD;fazle;kabir;BGD;2016;3;2022;7;2;0;1955;7;3;Cadet College;;;Bangladesh;Dhaka
Musharraf Hossain Bhuiyan;Musharraf Bhuiyan;BGD;musharraf;bhuiyan;BGD;;;;;2;0;;;;;;;;
Kazi Muktadir;Kazi Muktadir;BGD;kazi;muktadir;BGD;;;;;1;0;;;;;;;;
Hedayetullah Al Mamoon;Hedayetullah Mamoon;BGD;hedayetullah;mamoon;BGD;;;;;0;0;;;;;;;;
Hedayetullah Mamoon;Hedayetullah Mamoon;BGD;hedayetullah;mamoon;BGD;;;;;2;0;;;;;;;;
Mohammad Muslim Chowdhury;Mohammad Chowdhury;BGD;mohammad;chowdhury;BGD;;;;;0;0;;;;;;;;
Nojibur Rahman;Nojibur Rahman;BGD;nojibur;rahman;BGD;;;;;0;0;;;;;;;;
Ahmed Jamal;Ahmed Jamal;BGD;ahmed;jamal;BGD;;;;;1;0;;;;;;;;
A.K.N. Ahmed;Salehuddin Ahmed;BGD;salehuddin;ahmed;BGD;;;;;2;0;;;;;;;;
Dr. Salehuddin Ahmed;Salehuddin Ahmed;BGD;salehuddin;ahmed;BGD;;;;;2;0;;;;;;;;
M Khan;M Khan;BGD;m;khan;BGD;;;;;1;0;;;;;;;;
Abu Nasser;Abu Nasser;BGD;abu;nasser;BGD;;;;;1;0;;;;;;;;
Abdur Rouf Talukder;Abdur Talukder;BGD;abdur;talukder;BGD;;;;;0;0;;;;;;;;
Abdur Talukder;Abdur Talukder;BGD;abdur;talukder;BGD;;;;;2;0;;;;;;;;
Mostakur Rahman;Mostakur Rahman;BGD;mostakur;rahman;BGD;;;;;2;0;;;;;;;;
Md. Ezazul Islam;Md Islam;BGD;md;islam;BGD;;;;;0;0;;;;;;;;
Md. Zabaidul Islam;Md Islam;BGD;md;islam;BGD;;;;;0;0;;;;;;;;
Dr. Fakhruddin Ahmed;Salahuddin Ahmed;BGD;salahuddin;ahmed;BGD;;;;;2;0;;;;;;;;
Dr. Salehuddin Ahmed;Salahuddin Ahmed;BGD;salahuddin;ahmed;BGD;;;;;2;0;;;;;;;;
A.K.N. Ahmed;Momtaz Ahmed;BGD;momtaz;ahmed;BGD;;;;;2;0;;;;;;;;
Ghulam Hussain;Ghulam Hussain;BGD;ghulam;hussain;BGD;;;;;2;0;;;;;;;;
Dr. Atiur Rahman;Md Rahman;BGD;md;rahman;BGD;;;;;0;0;;;;;;;;
Dr. Atiur Rahman;Kazi Rahman;BGD;kazi;rahman;BGD;;;;;1;0;;;;;;;;
Md. Habibur Rahman;Md Rahman;BGD;md;rahman;BGD;;;;;1;0;;;;;;;;
Todor Valchev;Todor Valchev;BGR;todor;valchev;BGR;;;;;2;0;;;;;;;;
Lyubomir Filipov;Lyubomir Filipov;BGR;lyubomir;filipov;BGR;;;;;2;0;;;;;;;;
Svetoslav Gavriiski;Svetoslav Gavriiski;BGR;svetoslav;gavriiski;BGR;;;;;2;0;;;;;;;;
Emilia Milanova;Emilia Milanova;BGR;emilia;milanova;BGR;;;;;1;1;;;;;;;;
Oleg Nedyalkov;Oleg Nedyalkov;BGR;oleg;nedyalkov;BGR;;;;;2;0;;;;;;;;
Emiliya Milanova;Emiliya Milanova;BGR;emiliya;milanova;BGR;;;;;2;1;;;;;;;;
Statty Stattev;Statty Stattev;BGR;statty;stattev;BGR;;;;;0;0;;;;;;;;
Dimitar Radev;Dimitar Radev;BGR;dimitar;radev;BGR;2015;7;;;2;0;1956;7;2;Georgetown University;;;Bulgaria;Plovdiv
Dimitar Kostov;Dimiter Kostov;BGR;dimiter;kostov;BGR;;;;;1;0;;;;;;;;
Dimitar Kostov;Dimitar Kostov;BGR;dimitar;kostov;BGR;;;;;1;0;1936;7;;;;;Bulgaria;Sofia
Tsvetan Gunev;Tsvetan Gunev;BGR;tsvetan;gunev;BGR;;;;;1;0;;;;;;;;
Tsvetan Manchev;Tsvetan Manchev;BGR;tsvetan;manchev;BGR;;;;;1;0;;;;;;;;
Tsvetan Manchev;Tsvetan Manchev;BGR;tsvetan;manchev;BGR;;;;;1;0;;;;;;;;
Nikolay Nenovsky;Nikolay Nenovsky;BGR;nikolay;nenovsky;BGR;;;;;0;0;1963;7;1;;;;Bulgaria;Veliko Tarnovo
Nina Stoyanova;Nina Stoyanova;BGR;nina;stoyanova;BGR;;;;;1;1;;;;;;;;
Ivan Iskrov;Ivan Iskrov;BGR;ivan;iskrov;BGR;2003;10;2015;7;2;0;1967;3;1;;;;Bulgaria;Pirdop
Ivan Iskrov;Ivan Iskrov;BGR;ivan;iskrov;BGR;2003;10;2015;7;2;0;1967;3;1;;;;Bulgaria;Pirdop
Ivan Iskrov;Ivan Iskrov;BGR;ivan;iskrov;BGR;2003;10;2015;7;1;0;1967;3;1;;;;Bulgaria;Pirdop
Kalin Hristov;Kalin Hristov;BGR;kalin;hristov;BGR;;;;;1;0;;;;;;;;
Radoslav Milenkov;Radoslav Milenkov;BGR;radoslav;milenkov;BGR;;;;;1;0;;;;;;;;
Lyudmila Elkova;Lyudmila Elkova;BGR;lyudmila;elkova;BGR;;;;;0;1;;;;;;;;
Lyudmila Elkova;Lyudmila Elkova;BGR;lyudmila;elkova;BGR;;;;;0;1;;;;;;;;
Elitsa Nikolova;Elitsa Nikolova;BGR;elitsa;nikolova;BGR;;;;;0;1;;;;;;;;
Iliya Lingorski;Iliya Lingorski;BGR;iliya;lingorski;BGR;;;;;0;0;;;;;;;;
Andrey Gurov;Andrey Gurov;BGR;andrey;gurov;BGR;;;;;1;0;1975;1;;;;;;
Petar Chobanov;Petar Chobanov;BGR;petar;chobanov;BGR;2013;5;2013;5;1;0;1976;7;1;;;;Bulgaria;Yambol
Petar Chobanov;Petar Chobanov;BGR;petar;chobanov;BGR;2013;5;2013;5;1;0;1976;7;1;;;;Bulgaria;Yambol
Ivan Stefanov;Ivan Stefanov;BGR;ivan;stefanov;BGR;;;;;2;0;;;;;;;;
Tzonyu Tzonchev;Tzonyu Tzonchev;BGR;tzonyu;tzonchev;BGR;;;;;2;0;;;;;;;;
Atanas Mechkarov;Atanas Mechkarov;BGR;atanas;mechkarov;BGR;;;;;2;0;;;;;;;;
Vela Lukanova;Vela Lukanova;BGR;vela;lukanova;BGR;;;;;2;0;;;;;;;;
Kiril Nestorov;Kiril Nestorov;BGR;kiril;nestorov;BGR;;;;;2;0;;;;;;;;
Kiril Zarev;Kiril Zarev;BGR;kiril;zarev;BGR;;;;;2;0;;;;;;;;
Veselin Nikiforov;Veselin Nikiforov;BGR;veselin;nikiforov;BGR;;;;;2;0;;;;;;;;
Vasil Kolarov;Vasil Kolarov;BGR;vasil;kolarov;BGR;1949;7;1950;1;2;0;1877;7;1;;;;Bulgaria;Shumen
Ivan Dragnevski;Ivan Dragnevski;BGR;ivan;dragnevski;BGR;;;;;2;0;;;;;;;;
Garabed Minassian;Garabed Minassian;BGR;garabed;minassian;BGR;;;;;0;0;;;;;;;;
Rumen Simeonov;Rumen Simeonov;BGR;rumen;simeonov;BGR;;;;;1;0;;;;;;;;
Penka Kratunova;Penka Kratunova;BGR;penka;kratunova;BGR;;;;;2;1;;;;;;;;
Boryana Pencheva;Boryana Pencheva;BGR;boryana;pencheva;BGR;;;;;0;1;;;;;;;;
Nelly Kordovska;Nelly Kordovska;BGR;nelly;kordovska;BGR;;;;;0;1;;;;;;;;
Abdulla Hassan Saif;Abdullah Saif;BHR;abdullah;saif;BHR;;;;;2;0;;;;;;;;
Rasheed Maraj;Rasheed Maraj;BHR;rasheed;maraj;BHR;;;;;2;0;;;;;;;;
Shaikh Abdulla bin Khalifa Al Khalifa;Ahmed Khalifa;BHR;ahmed;khalifa;BHR;;;;;2;0;1985;3;;;;;Egypt;Ismailia
Abdul Albaker;Abdul Albaker;BHR;abdul;albaker;BHR;;;;;0;0;;;;;;;;
Shaikh Ahmed bin Mohammed Al Khalifa;Ahmed Khalifa;BHR;ahmed;khalifa;BHR;;;;;2;0;1985;3;;;;;Egypt;Ismailia
Abdulla Hassan Saif;Abdulla Saif;BHR;abdulla;saif;BHR;;;;;2;0;;;;;;;;
Shaikh Ahmed bin Mohammed Al Khalifa;Abdullah Khalifa;BHR;abdullah;khalifa;BHR;;;;;2;0;;;;;;;;
Khalid Humaidan;Khalid Humaidan;BHR;khalid;humaidan;BHR;;;;;2;0;;;;;;;;
Carleton Williams;Carleton Williams;BHS;carleton;williams;BHS;;;;;0;0;;;;;;;;
 Timothy B. Donaldson;Timothy Donaldson;BHS;timothy;donaldson;BHS;;;;;2;0;1934;1;2;Columbia University;;;1934;( 1934-01-02 ) January 2
John A. Rolle;Warren Rolle;BHS;warren;rolle;BHS;;;;;0;0;;;;;;;;
Collin Callender;Collin Callender;BHS;collin;callender;BHS;;;;;0;0;;;;;;;;
Sir. William C. Allen (reapp.);Julian Reapp;BHS;julian;reapp;BHS;;;;;2;0;;;;;;;;
Pandora Johnson;Pandora Johnson;BHS;pandora;johnson;BHS;;;;;0;0;;;;;;;;
Vincent Vanderpool-Wallace;Vincent Vanderpoolwallace;BHS;vincent;vanderpoolwallace;BHS;;;;;0;0;;;;;;;;
Archdeacon James Palacious;Archdeacon Palacious;BHS;archdeacon;palacious;BHS;;;;;0;0;;;;;;;;
Julian W Francis;Julian Francis;BHS;julian;francis;BHS;;;;;2;0;;;;;;;;
Julian W. Francis;Julian Francis;BHS;julian;francis;BHS;;;;;2;0;;;;;;;;
Michael Lightbourne;Michael Lightbourne;BHS;michael;lightbourne;BHS;;;;;1;0;;;;;;;;
Duane Sands;Duane Sands;BHS;duane;sands;BHS;;;;;2;0;1962;;2;"University; Hopkins School of Medicine";;;Bahamas;1962 (age 63–64) Nassau
John Rolle;John Rolle;BHS;john;rolle;BHS;;;;;2;0;1756;10;3;Emmanuel College;;;;
Sir William C. Allen;William Allen;BHS;william;allen;BHS;;;;;2;0;;;;;;;;
James E. Smith;James Smith;BHS;james;smith;BHS;;;;;2;0;;;;;;;;
Julian W Francis;Julian Francis;BHS;julian;francis;BHS;;;;;2;0;;;;;;;;
Wendy Craigg;Wendy Craigg;BHS;wendy;craigg;BHS;2005;6;2015;12;2;1;;;1;;;;;
Edgar Moxey;Edgar Moxey;BHS;edgar;moxey;BHS;;;;;0;0;;;;;;;;
Paula Adderley;Paula Adderley;BHS;paula;adderley;BHS;;;;;0;1;;;;;;;;
Jure Pelivan;Jure Pelivan;BIH;jure;pelivan;BIH;1992;3;1992;11;0;0;1928;12;;;;;Bosnia and Herzegovina;Livno
Kasim Omicevic;Kasim Omicevic;BIH;kasim;omicevic;BIH;;;;;2;0;;;;;;;;
Peter Nicholl;Peter Nicholl;BIH;peter;nicholl;BIH;1997;7;2004;12;2;0;1944;1;1;;;;New Zealand;Hamilton
Vasilj Zarkovic;Vasilj Zarkovic;BIH;vasilj;zarkovic;BIH;;;;;0;0;;;;;;;;
Zeljko Sain;Zeljko Sain;BIH;zeljko;sain;BIH;;;;;0;0;;;;;;;;
Ankica Kolobaric;Ankica Kolobaric;BIH;ankica;kolobaric;BIH;;;;;0;1;;;;;;;;
Kemal KozarićBis;Kemal Kozaricbis;BIH;kemal;kozaricbis;BIH;;;;;2;0;;;;;;;;
Radomir Božić;Radomir Bozic;BIH;radomir;bozic;BIH;;;;;1;0;;;;;;;;
Fikret Causevic;Fikret Causevic;BIH;fikret;causevic;BIH;;;;;2;0;;;;;;;;
Senad Softic;Senad Softic;BIH;senad;softic;BIH;;;;;2;0;;;;;;;;
Vladusic Ljubisa;Vladusic Ljubisa;BIH;vladusic;ljubisa;BIH;;;;;1;0;;;;;;;;
Željko Marić;Zeljko Maric;BIH;zeljko;maric;BIH;;;;;1;0;;;;;;;;
Jasmina Selimović;Jasmina Selimovic;BIH;jasmina;selimovic;BIH;2024;1;;;2;1;1979;7;2;;;;Bosnia and Herzegovina;Sarajevo
Manoijo Coric;Manoijo Coric;BIH;manoijo;coric;BIH;;;;;0;0;;;;;;;;
Ljubomir Kovacević;Ljubomir Kovacevic;BIH;ljubomir;kovacevic;BIH;;;;;0;0;1848;1;;;;;Serbia;Petnica
Mehmed Jahit;Mehmed Jahit;BIH;mehmed;jahit;BIH;;;;;0;0;;;;;;;;
Trivo Marinković;Trivo Marinkovic;BIH;trivo;marinkovic;BIH;;;;;0;0;;;;;;;;
Marko Vidojević;Marko Vidojevic;BIH;marko;vidojevic;BIH;;;;;1;0;;;;;;;;
Nikolai Omelyanovich;Nikolai Omelyanovich;BLR;nikolai;omelyanovich;BLR;;;;;2;0;;;;;;;;
Stanislav A. Bogdankevich;Stanislav Bogdankevich;BLR;stanislav;bogdankevich;BLR;;;;;2;0;;;;;;;;
Petr P. Prokopovich;Pyotr Prokopovich;BLR;pyotr;prokopovich;BLR;;;;;2;0;;;;;;;;
Vladimir Ya. Senko;Vladimir Senko;BLR;vladimir;senko;BLR;;;;;0;0;;;;;;;;
Gennady S. Aleynikov;Gennady Aleynikov;BLR;gennady;aleynikov;BLR;;;;;2;0;;;;;;;;
Tamara D. Vinnikova;Tamara Vinnikova;BLR;tamara;vinnikova;BLR;;;;;2;1;;;;;;;;
Nadezhda Yermakova ;Nadezhda Yermakova;BLR;nadezhda;yermakova;BLR;;;;;2;1;1953;4;2;Economic University;;;Belarus;Razaĺmova
Petr A. Mamanovich;Petr Mamanovich;BLR;petr;mamanovich;BLR;;;;;0;0;;;;;;;;
Pavel Uladzimiravich Kalaur;Pavel Kalaur;BLR;pavel;kalaur;BLR;;;;;2;0;;;;;;;;
Pavel Kallaur;Pavel Kallaur;BLR;pavel;kallaur;BLR;2014;12;2025;3;2;0;1962;8;1;;;;Belarus;Bielavuša
Elena Mashnina;Elena Mashnina;BLR;elena;mashnina;BLR;;;;;0;1;;;;;;;;
Dmitry Lapko;Dmitry Lapko;BLR;dmitry;lapko;BLR;;;;;0;0;;;;;;;;
Sergei Kalechits;Sergei Kalechits;BLR;sergei;kalechits;BLR;;;;;1;0;;;;;;;;
Alexander V. Lobanov;Alexander Lobanov;BLR;alexander;lobanov;BLR;;;;;0;0;;;;;;;;
Sergey V. Dubkov;Sergey Dubkov;BLR;sergey;dubkov;BLR;;;;;1;0;;;;;;;;
Yury M. Alymov;Yury Alymov;BLR;yury;alymov;BLR;;;;;1;0;;;;;;;;
Taras Yu. Nadolyn;Taras Nadolyn;BLR;taras;nadolyn;BLR;;;;;0;0;;;;;;;;
Ilona A. Durasova/Lednitskaya;Ilona Durasovalednitskaya;BLR;ilona;durasovalednitskaya;BLR;;;;;0;1;;;;;;;;
Dmitry L. Kalechits;Dmitry Kalechits;BLR;dmitry;kalechits;BLR;;;;;0;0;;;;;;;;
Sir Edney Cain;Edney Cain;BLZ;edney;cain;BLZ;;;;;2;0;1924;12;;;;;Belize;Belize
Sir Edney Cain;Edney Cain;BLZ;edney;cain;BLZ;;;;;2;0;1924;12;;;;;Belize;Belize
Manual Esquivel;Manual Esquivel;BLZ;manual;esquivel;BLZ;;;;;0;0;;;;;;;;
Jorge Meliton Auil;Jorge Auil;BLZ;jorge;auil;BLZ;;;;;2;0;;;;;;;;
Ricardo Pelayo;Ricardo Pelayo;BLZ;ricardo;pelayo;BLZ;;;;;0;0;;;;;;;;
Joy Grant;Joy Grant;BLZ;joy;grant;BLZ;2016;10;2021;3;2;1;1951;2;1;;;;Belize;Belize City
Carla Barnett;Carla Barnett;BLZ;carla;barnett;BLZ;;;;;1;1;1958;2;1;;;;Belize;Belize City
Glenford Ysaguirre;Glenford Ysaguirre;BLZ;glenford;ysaguirre;BLZ;;;;;2;0;;;;;;;;
Carla Burnett;Carla Burnett;BLZ;carla;burnett;BLZ;;;;;0;1;;;;;;;;
Jaime Briceño;Jaime Briceno;BLZ;jaime;briceno;BLZ;;;;;0;0;;;;;;;;
Francis Fonseca;Francis Fonseca;BLZ;francis;fonseca;BLZ;;;;;0;0;1967;3;2;Louisiana University of the West;;;Belize;Belize City
Kareem Michael;Kareem Michael;BLZ;kareem;michael;BLZ;;;;;2;0;;;;;;;;
Vanessa Retreage;Vanessa Retreage;BLZ;vanessa;retreage;BLZ;;;;;0;1;;;;;;;;
Robert Swift;Robert Swift;BLZ;robert;swift;BLZ;;;;;2;0;1985;12;1;;;;United States;Bakersfield
Alan Slusher;Alan Slusher;BLZ;alan;slusher;BLZ;;;;;2;0;;;;;;;;
Keith Arnold;Keith Arnold;BLZ;keith;arnold;BLZ;;;;;2;0;;;;;;;;
Sydney Campbell;Sydney Campbell;BLZ;sydney;campbell;BLZ;;;;;2;0;;;;;;;;
Marilyn Gardinerusher;Marilyn Gardinerusher;BLZ;marilyn;gardinerusher;BLZ;;;;;1;1;;;;;;;;
John Mencias;John Mencias;BLZ;john;mencias;BLZ;;;;;0;0;;;;;;;;
Nestor Vasquez;Nestor Vasquez;BLZ;nestor;vasquez;BLZ;;;;;1;0;;;;;;;;
Gustavo Manuel Vasquez;Gustavo Vasquez;BLZ;gustavo;vasquez;BLZ;;;;;2;0;;;;;;;;
Matthew Elderfield;Matthew Elderfield;BMU;matthew;elderfield;BMU;;;;;2;0;1966;1;;;;;;
Darren Q. Johnston;Darren Johnston;BMU;darren;johnston;BMU;;;;;1;0;;;;;;;;
Mansfield Brock;Mansfield Brock;BMU;mansfield;brock;BMU;;;;;2;0;;;;;;;;
Cheryl-Ann Lister;Cheryl Lister;BMU;cheryl;lister;BMU;;;;;2;1;;;;;;;;
Alan C. Cossar;Alan Cossar;BMU;alan;cossar;BMU;;;;;2;0;;;;;;;;
Gerald D.E. Simons;Gerald Simons;BMU;gerald;simons;BMU;;;;;2;0;;;;;;;;
Raúl Boada Rodríguez;Raul Rodriguez;BOL;raul;rodriguez;BOL;;;;;2;0;;;;;;;;
Pablo Ramos Sánchez;Pablo Sanchez;BOL;pablo;sanchez;BOL;;;;;2;0;;;;;;;;
Armando Méndez Morales;Armando Morales;BOL;armando;morales;BOL;;;;;2;0;1927;1;;;;;Nicaragua;Granada
Juan Antonio Morales;Juan Morales;BOL;juan;morales;BOL;;;;;2;0;;;;;;;;
Fernando Baldivieso;Fernando Baldivieso;BOL;fernando;baldivieso;BOL;;;;;0;0;;;;;;;;
Agustín Saavedra Weise;Agustin Weise;BOL;agustin;weise;BOL;;;;;2;0;;;;;;;;
Armando Siles;Armando Siles;BOL;armando;siles;BOL;;;;;1;0;;;;;;;;
Gabriel Loza Tellería;Gabriel Telleria;BOL;gabriel;telleria;BOL;;;;;2;0;;;;;;;;
Fernando Prudencio;Fernando Prudencio;BOL;fernando;prudencio;BOL;;;;;1;0;;;;;;;;
Marcelo Zabalaga;Marcelo Zabalaga;BOL;marcelo;zabalaga;BOL;2010;11;2017;3;2;0;1953;8;1;;;;Bolivia;Cochabamba
Luis Olea;Luis Olea;BOL;luis;olea;BOL;;;;;0;0;;;;;;;;
Gustavo Blacutt Alcalà;Gustavo Alcala;BOL;gustavo;alcala;BOL;;;;;0;0;;;;;;;;
Guillermo Aponte Reyes Ortiz;Guillermo Ortiz;BOL;guillermo;ortiz;BOL;;;;;2;0;;;;;;;;
Ernesto Aguilar;Ernesto Aguilar;BOL;ernesto;aguilar;BOL;;;;;0;0;;;;;;;;
Roger Edwin Rojas Ulo;Roger Ulo;BOL;roger;ulo;BOL;;;;;2;0;;;;;;;;
Alfredo Alexander Jordán;Alfredo Jordan;BOL;alfredo;jordan;BOL;;;;;2;0;;;;;;;;
José María Gutiérrez;Jose Gutierrez;BOL;jose;gutierrez;BOL;;;;;2;0;;;;;;;;
Alcides Molina;Alcides Molina;BOL;alcides;molina;BOL;;;;;2;0;;;;;;;;
Humberto Cuenca de la Riva;Humberto Riva;BOL;humberto;riva;BOL;;;;;2;0;;;;;;;;
Armando Pinell Centellas;Armando Centellas;BOL;armando;centellas;BOL;;;;;2;0;;;;;;;;
Franklin Antezana Paz;Franklin Paz;BOL;franklin;paz;BOL;;;;;2;0;;;;;;;;
Luis Peñaloza Cordero;Luis Cordero;BOL;luis;cordero;BOL;;;;;2;0;;;;;;;;
Eufronio Hinojosa Guzmán;Eufronio Guzman;BOL;eufronio;guzman;BOL;;;;;2;0;;;;;;;;
Humberto Fossati Rocha;Humberto Rocha;BOL;humberto;rocha;BOL;;;;;2;0;;;;;;;;
Raúl Lema Pelaez;Raul Pelaez;BOL;raul;pelaez;BOL;;;;;2;0;;;;;;;;
Santiago Sologuren Sologuren;Santiago Sologuren;BOL;santiago;sologuren;BOL;;;;;2;0;;;;;;;;
Alberto Ibañez Gonzales;Alberto Gonzales;BOL;alberto;gonzales;BOL;;;;;2;0;1955;8;3;"Academy; University; Harvard University";;;United States;San Antonio
Luis Arce Pacheco;Luis Pacheco;BOL;luis;pacheco;BOL;;;;;2;0;;;;;;;;
Jorge Jordán Ferrufino;Jorge Ferrufino;BOL;jorge;ferrufino;BOL;;;;;2;0;;;;;;;;
Oscar Vega López;Oscar Lopez;BOL;oscar;lopez;BOL;;;;;2;0;;;;;;;;
Wenceslao Alba Quiroz;Wenceslao Quiroz;BOL;wenceslao;quiroz;BOL;;;;;2;0;;;;;;;;
Manuel Mercado Montero;Manuel Montero;BOL;manuel;montero;BOL;;;;;2;0;1991;11;;;;;Argentina;Buenos Aires
Luis Bedregal Rodo;Luis Rodo;BOL;luis;rodo;BOL;;;;;2;0;;;;;;;;
José Justiniano Aguilera;Jose Aguilera;BOL;jose;aguilera;BOL;;;;;2;0;2000;1;;;;;Chile;Combarbalá
Miguel Fabbri Cohn;Miguel Cohn;BOL;miguel;cohn;BOL;;;;;2;0;;;;;;;;
Enrique García Ayaviri;Enrique Ayaviri;BOL;enrique;ayaviri;BOL;;;;;2;0;;;;;;;;
Arturo Nuñez del Prado;Marcelo Prado;BOL;marcelo;prado;BOL;;;;;2;0;;;;;;;;
Guido Salinas;Guido Salinas;BOL;guido;salinas;BOL;;;;;2;0;;;;;;;;
Luis Viscarra Cruz;Luis Cruz;BOL;luis;cruz;BOL;;;;;2;0;1984;2;;;;;;Navojoa
Herbert Müller Costas;Herbert Costas;BOL;herbert;costas;BOL;;;;;2;0;;;;;;;;
Reynaldo Cardozo Arellano;Reynaldo Arellano;BOL;reynaldo;arellano;BOL;;;;;2;0;;;;;;;;
Tamara Sánchez Peña;Tamara Pena;BOL;tamara;pena;BOL;;;;;2;1;;;;;;;;
Javier Nogales Iturri;Javier Iturri;BOL;javier;iturri;BOL;;;;;2;0;;;;;;;;
Jacques Trigo Loubiere;Jacques Loubiere;BOL;jacques;loubiere;BOL;;;;;2;0;;;;;;;;
Fernando Candia Castillo;Fernando Castillo;BOL;fernando;castillo;BOL;;;;;2;0;;;;;;;;
Armando Méndez Morales;Juan Morales;BOL;juan;morales;BOL;;;;;2;0;;;;;;;;
José Luis Evia Vizcarra;Jose Vizcarra;BOL;jose;vizcarra;BOL;;;;;0;0;;;;;;;;
Raul Garron Claure;Raul Claure;BOL;raul;claure;BOL;;;;;2;0;;;;;;;;
Lenny Valdivia Bautista;Lenny Bautista;BOL;lenny;bautista;BOL;;;;;2;1;;;;;;;;
Abraham Pérez Alandia;Abraham Alandia;BOL;abraham;alandia;BOL;;;;;0;0;;;;;;;;
Reynaldo Yujra Segales;Reynaldo Segales;BOL;reynaldo;segales;BOL;;;;;0;0;;;;;;;;
Rafael Bloyan Tellez;Rafael Tellez;BOL;rafael;tellez;BOL;;;;;0;0;;;;;;;;
David Iván Espinoza Torrico;David Torrico;BOL;david;torrico;BOL;;;;;2;0;;;;;;;;
Dênio Chagas Nogueir;Denio Nogueir;BRA;denio;nogueir;BRA;;;;;2;0;;;;;;;;
Dênio Chagas Nogueira;Denio Nogueira;BRA;denio;nogueira;BRA;;;;;2;0;;;;;;;;
Ary Burger;Ary Burger;BRA;ary;burger;BRA;;;;;2;0;;;;;;;;
Galvêas;Ernane Galveas;BRA;ernane;galveas;BRA;1968;2;1974;3;2;0;1922;10;2;Princeton University;;;Brazil;Cachoeiro de Itapemirim
Galvêas;Ernane Galveas;BRA;ernane;galveas;BRA;1968;2;1974;3;2;0;1922;10;2;Princeton University;;;Brazil;Cachoeiro de Itapemirim
Rui Aguiar da Silva Leme;Rui Leme;BRA;rui;leme;BRA;;;;;2;0;;;;;;;;
Camões;Elmo Camoes;BRA;elmo;camoes;BRA;;;;;2;0;;;;;;;;
Brandão;Carlos Brandao;BRA;carlos;brandao;BRA;2015;1;2018;12;2;0;1958;6;3;State University;;;Brazil;Colinas
Lycio de Faria;Lycio Faria;BRA;lycio;faria;BRA;;;;;2;0;;;;;;;;
Paulo Hortêncio Pereira Lima;Paulo Lima;BRA;paulo;lima;BRA;;;;;2;0;;;;;;;;
Bracher;Fernao Bracher;BRA;fernao;bracher;BRA;;;;;2;0;;;;;;;;
Pastore;Affonso Pastore;BRA;affonso;pastore;BRA;1983;9;1985;3;2;0;1938;6;1;;;;Brazil;São Paulo
Lira;Paulo Lira;BRA;paulo;lira;BRA;;;;;2;0;;;;;;;;
Paulo Vieira da Cunha;Paulo Cunha;BRA;paulo;cunha;BRA;;;;;0;0;;;;;;;;
Gros;Francisco Gros;BRA;francisco;gros;BRA;;;;;2;0;;;;;;;;
Gros;Francisco Gros;BRA;francisco;gros;BRA;;;;;2;0;;;;;;;;
Malan;Pedro Malan;BRA;pedro;malan;BRA;1993;9;1994;12;2;0;1943;2;2;"Catholic University of Rio de; Janeiro University of California";;;Brazil;Petrópolis
